deleted disk stats,15-12-2022_16:07:59
#################### DISK STATS 15/12/2022 16:07:53 ####################
Partition,C:\
Total size,487.3437 GB
Used size,448.4539 GB
Free size,38.8898 GB
Usage,92.0%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 15/12/2022 16:07:54 ####################
Partition,C:\
Total size,487.3437 GB
Used size,448.4539 GB
Free size,38.8898 GB
Usage,92.0%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 15/12/2022 16:07:55 ####################
Partition,C:\
Total size,487.3437 GB
Used size,448.4539 GB
Free size,38.8898 GB
Usage,92.0%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 15/12/2022 16:07:57 ####################
Partition,C:\
Total size,487.3437 GB
Used size,448.4539 GB
Free size,38.8898 GB
Usage,92.0%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 15/12/2022 16:07:58 ####################
Partition,C:\
Total size,487.3437 GB
Used size,448.4539 GB
Free size,38.8898 GB
Usage,92.0%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 15/12/2022 16:07:59 ####################
Partition,C:\
Total size,487.3437 GB
Used size,448.4539 GB
Free size,38.8898 GB
Usage,92.0%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 15/12/2022 16:13:37 ####################
Partition,C:\
Total size,487.3437 GB
Used size,448.4567 GB
Free size,38.8869 GB
Usage,92.0%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 15/12/2022 16:13:38 ####################
Partition,C:\
Total size,487.3437 GB
Used size,448.4567 GB
Free size,38.8869 GB
Usage,92.0%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 15/12/2022 16:13:39 ####################
Partition,C:\
Total size,487.3437 GB
Used size,448.4567 GB
Free size,38.8869 GB
Usage,92.0%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 15/12/2022 16:24:08 ####################
Partition,C:\
Total size,487.3437 GB
Used size,448.4635 GB
Free size,38.8802 GB
Usage,92.0%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 15/12/2022 16:24:09 ####################
Partition,C:\
Total size,487.3437 GB
Used size,448.4635 GB
Free size,38.8802 GB
Usage,92.0%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 15/12/2022 16:24:11 ####################
Partition,C:\
Total size,487.3437 GB
Used size,448.4635 GB
Free size,38.8802 GB
Usage,92.0%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 15/12/2022 16:24:12 ####################
Partition,C:\
Total size,487.3437 GB
Used size,448.4634 GB
Free size,38.8802 GB
Usage,92.0%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
#################### DISK STATS 15/12/2022 16:24:13 ####################
Partition,C:\
Total size,487.3437 GB
Used size,448.4634 GB
Free size,38.8802 GB
Usage,92.0%
---------------
Partition,D:\
Total size,465.5869 GB
Used size,47.8841 GB
Free size,417.7029 GB
Usage,10.3%
---------------
